Account Number,First name,Middle Name,Last name,Date of birth,Joint account or not,Joint Account Number
1234500451,Sig.ra,Grace,Lombardo,1986-08-04,no,
1234500452,Maggiore,Louise,Graziano,1996-04-03,no,
1234500453,Eusebio,Rose,Bianco,1981-04-18,no,
1234500454,Valdo,Rose,D'amico,1990-12-05,no,
1234500455,Claudia,Thomas,Bellini,1976-07-24,no,
1234500456,Tristano,William,Ferretti,1979-04-13,no,
1234500457,Fatima,James,Serra,1986-07-16,no,
1234500458,Rodolfo,Grace,D'angelo,1996-01-18,yes,1234553933
1234500459,Santo,David,Sala,1986-07-09,no,
1234500460,Samira,David,Conti,1978-12-05,no,
1234500461,Sig.,John,Neri,1981-02-28,yes,1234551923
1234500462,Bernardo,William,Liborio,1991-12-03,no,
1234500463,Fernando,David,Bellini,1993-04-26,yes,1234552493
1234500464,Tazio,Grace,Gianmarco,1989-10-17,yes,1234552900
1234500465,Assia,Jane,Testa,1988-12-14,yes,1234557018
1234500466,Aroldo,Rose,Ricci,1991-09-29,yes,1234558379
1234500467,Samuel,Louise,Giordano,1987-05-14,no,
1234500468,Serse,Jane,Sanna,1986-10-18,yes,1234551101
1234500469,Nico,John,Grasso,1982-04-08,yes,1234557742
1234500470,Nathan,Thomas,Caruso,1983-07-18,no,
1234500471,Danthon,Louise,Pellegrini,1994-03-08,no,
1234500472,Maria,John,Ferretti,1982-11-14,yes,1234552360
1234500473,Damiano,Rose,Quirino,1996-08-28,yes,1234556887
1234500474,Kristel,David,Palmieri,1979-10-20,yes,1234559348
1234500475,Gilda,Jane,Cattaneo,1977-05-19,no,
1234500476,Eriberto,Thomas,Silvestri,1992-03-10,no,
1234500477,Sig.,Jane,Russo,1994-04-20,yes,1234550068
1234500478,Sig.,William,Orlando,1992-08-22,yes,1234551715
1234500479,Ingrid,Rose,Riva,1991-09-23,yes,1234557967
1234500480,Lidia,David,Monti,1997-04-25,yes,1234553856
1234500481,Gavino,John,Leone,1981-09-06,no,
1234500482,Orfeo,John,Amato,1995-10-21,yes,1234552872
1234500483,Clea,Grace,Martinelli,1976-06-08,no,
1234500484,Sig.ra,James,Sandro,1981-01-29,no,
1234500485,Avide,Thomas,Testa,1994-06-15,no,
1234500486,Carmela,James,Bernardo,1994-04-14,no,
1234500487,Ettore,William,Pietro,1976-07-18,no,
1234500488,Fabiano,Jane,Marina,1976-02-21,no,
1234500489,Ettore,Rose,Fiore,1982-01-31,yes,1234558489
1234500490,Jack,Thomas,Miriam,1996-03-09,yes,1234550070
1234500491,Furio,Thomas,Ferretti,1988-04-01,no,
1234500492,Eustachio,David,Jacopo,1985-12-30,no,
1234500493,Bacchisio,John,Caputo,1983-01-13,yes,1234556658
1234500494,Marina,Rose,Conte,1976-09-24,yes,1234550355
1234500495,Ettore,William,Vienna,1976-04-24,no,
1234500496,Ione,Rose,Penelope,1991-12-26,yes,1234555923
1234500497,Amos,Grace,Santoro,1977-12-07,yes,1234551085
1234500498,Armando,Thomas,Sartori,1995-12-14,no,
1234500499,Fiorentino,Thomas,Conti,1995-09-14,yes,1234554170
1234500500,Sandro,Grace,Irene,1982-06-29,yes,1234555257
1234500501,Lino,William,Ferri,1980-02-10,yes,1234551892
1234500502,Romeo,Grace,Iacopo,1985-01-11,yes,1234550674
1234500503,Fatima,John,Negri,1981-04-10,no,
1234500504,Ubaldo,Grace,Ercole,1978-10-29,yes,1234552285
1234500505,Dylan,Louise,Battaglia,1993-09-18,yes,1234552524
1234500506,Maruska,David,Longo,1989-10-31,yes,1234557681
1234500507,Alan,Grace,Grasso,1995-09-29,no,
1234500508,Graziano,James,Gentile,1982-11-16,yes,1234555568
1234500509,Grazia,Rose,Ilario,1977-05-20,no,
1234500510,Mariagiulia,James,Farina,1996-05-21,no,
1234500511,Marvin,William,Leone,1986-11-25,yes,1234557871
1234500512,Rudy,John,De,1990-12-01,no,
1234500513,Oretta,James,Gatti,1978-10-30,yes,1234558013
1234500514,Fiorentino,Louise,De,1980-01-30,yes,1234556382
1234500515,Odone,William,Giuliano,1986-09-09,no,
1234500516,Loris,Jane,Ricci,1998-09-29,yes,1234552543
1234500517,Liborio,John,Neri,1976-06-03,yes,1234552520
1234500518,Ippolito,David,Nestore,1990-07-23,yes,1234551320
1234500519,Boris,John,Milani,1996-11-20,yes,1234553201
1234500520,Maristella,William,Santoro,1979-08-04,yes,1234558725
1234500521,Raoul,Grace,Esposito,1991-12-14,yes,1234553222
1234500522,Dott.,Louise,Colombo,1984-03-26,yes,1234550503
1234500523,Diana,David,Loredana,1992-01-04,yes,1234558721
1234500524,Erminia,John,Mariani,1976-01-07,yes,1234552535
1234500525,Sesto,Louise,Caputo,1990-12-22,no,
1234500526,Mecren,Louise,Fiorentino,1998-11-22,no,
1234500527,Vinicio,Jane,Bernardi,1989-03-17,no,
1234500528,Demi,Rose,Rocco,1991-05-26,no,
1234500529,Cristyn,David,Palumbo,1996-04-19,yes,1234557297
1234500530,Avide,Jane,Rizzo,1991-02-28,no,
1234500531,Sig.ra,William,Marini,1987-04-05,no,
1234500532,Olo,Jane,Montanari,1976-02-06,no,
1234500533,Ingrid,Rose,Eriberto,1975-01-21,no,
1234500534,Manuele,Thomas,Eustachio,1991-04-25,yes,1234550630
1234500535,Samuel,Grace,Romano,1978-01-17,no,
1234500536,Giacinto,William,Villa,1985-08-29,no,
1234500537,Tolomeo,Grace,Russo,1989-10-09,no,
1234500538,Cassiopea,Jane,Conte,1996-02-03,yes,1234555963
1234500539,Dott.,Rose,Guerra,1996-07-25,yes,1234553383
1234500540,Ivonne,Thomas,Graziano,1990-09-21,no,
1234500541,Eliziario,Louise,Timoteo,1986-12-09,yes,1234559552
1234500542,Quirino,William,Testa,1978-10-15,no,
1234500543,Rosaria,John,Ferri,1988-06-28,no,
1234500544,Sig.,William,Giulietta,1998-05-28,no,
1234500545,Primo,Louise,Silvestri,1997-01-17,no,
1234500546,Lucia,Grace,Edvige,1980-10-28,no,
1234500547,Sig.ra,Louise,Domingo,1979-11-08,yes,1234551507
1234500548,Siro,David,Matilde,1985-03-18,no,
1234500549,Miriam,John,Giancarlo,1975-03-10,no,
1234500550,Liborio,Thomas,Costantini,1980-09-18,yes,1234551811
1234500551,Artemide,Thomas,Ricci,1988-08-18,no,
1234500552,Marina,William,Walter,1991-07-17,no,
1234500553,Sig.,Grace,Rosalino,1977-01-28,yes,1234559455
1234500554,Graziano,James,Valentini,1986-08-23,no,
1234500555,Sig.,John,Giuliani,1997-07-20,yes,1234552399
1234500556,Sig.ra,David,Gatti,1983-04-04,no,
1234500557,Bacchisio,John,Russo,1989-11-20,no,
1234500558,Adriano,Grace,Moretti,1978-05-21,no,
1234500559,Renato,Thomas,Sorrentino,1989-11-04,no,
1234500560,Sig.ra,Louise,Bianco,1996-04-25,yes,1234553197
1234500561,Osvaldo,William,Bruno,1992-01-05,no,
1234500562,Albino,John,Santoro,1979-11-22,yes,1234551280
1234500563,Selvaggia,Grace,Lucia,1983-05-12,no,
1234500564,Gerlando,Thomas,Conte,1986-08-08,no,
1234500565,Dott.,John,Ivano,1989-08-17,yes,1234551174
1234500566,Antonio,David,Ausonio,1984-04-30,yes,1234558270
1234500567,Max,Rose,Selvaggia,1992-06-19,no,
1234500568,Carmela,John,Donati,1977-01-25,yes,1234551403
1234500569,Nathan,John,Giuliani,1982-08-02,yes,1234558520
1234500570,Kristel,Grace,Leone,1998-02-20,yes,1234554654
1234500571,Gianantonio,Grace,Montanari,1998-07-19,yes,1234551819
1234500572,Enrico,Rose,Palmieri,1983-10-28,yes,1234551008
1234500573,Sig.,Thomas,Battaglia,1991-07-09,no,
1234500574,Caio,Rose,Sartori,1976-04-15,no,
1234500575,Antonino,Rose,Marchetti,1994-02-19,no,
1234500576,Rita,James,Pellegrini,1990-12-12,no,
1234500577,Xavier,John,Caruso,1997-01-03,yes,1234554038
1234500578,Fernando,Grace,Secondo,1994-05-30,no,
1234500579,Kociss,Thomas,Caputo,1985-07-18,no,
1234500580,Elda,James,Gentile,1996-07-18,no,
1234500581,Ippolito,Grace,Parisi,1984-10-22,no,
1234500582,Ethan,Thomas,Basile,1980-06-25,no,
1234500583,Gianantonio,Louise,Marzio,1991-11-22,no,
1234500584,Edvige,Thomas,Giuliano,1991-08-19,no,
1234500585,Cira,John,Piras,1984-08-25,no,
1234500586,Abramo,Thomas,Palumbo,1991-06-02,no,
1234500587,Adriano,Thomas,Morelli,1987-06-27,yes,1234558305
1234500588,Eliziario,Jane,Vera,1977-11-14,yes,1234552309
1234500589,Gilda,James,Bernardi,1995-11-19,no,
1234500590,Artes,Thomas,Giuliani,1986-08-20,no,
1234500591,Priamo,Thomas,Fiore,1976-11-13,no,
1234500592,Sig.ra,Rose,Leone,1997-02-26,no,
1234500593,Mariano,William,Marini,1997-03-19,yes,1234559211
1234500594,Muzio,John,Basile,1984-12-20,yes,1234553856
1234500595,Arduino,Louise,Amato,1976-02-06,yes,1234550836
1234500596,Sig.,Jane,Orlando,1985-03-05,yes,1234553167
1234500597,Dindo,James,Fiorenzo,1987-08-11,yes,1234557533
1234500598,Sig.,Grace,Farina,1995-01-11,yes,1234550233
1234500599,Dott.,Rose,Nunzia,1981-04-04,yes,1234551077
1234500600,Sig.ra,James,Ferretti,1980-07-31,yes,1234554649
1234500601,Sig.ra,Rose,Conte,1990-10-04,yes,1234553466
1234500602,Gaetano,David,Basile,1992-08-09,yes,1234553458
1234500603,Sig.ra,Rose,Milani,1998-10-22,yes,1234556600
1234500604,Dott.,Grace,Giordano,1998-08-17,yes,1234555379
1234500605,Sig.ra,Grace,Fabbri,1992-02-04,yes,1234552697
1234500606,Gianriccardo,Grace,Conti,1984-11-12,no,
1234500607,Sig.,Grace,Bianchi,1993-04-14,no,
1234500608,Eufemia,James,Caputo,1980-08-21,no,
1234500609,Sabino,David,Longo,1983-03-29,yes,1234555991
1234500610,Baldassarre,James,Conti,1994-02-02,no,
1234500611,Eriberto,James,Longo,1981-10-27,no,
1234500612,Valdo,Jane,De,1975-06-24,no,
1234500613,Olo,Thomas,Nunzia,1994-10-18,no,
1234500614,Dott.,James,Tristano,1995-03-29,no,
1234500615,Elda,Thomas,Vitali,1976-08-07,yes,1234557953
1234500616,Sig.ra,Louise,Conte,1982-02-22,no,
1234500617,Helga,David,Felicia,1998-11-19,no,
1234500618,Fortunata,Thomas,Amedeo,1986-05-20,no,
1234500619,Sig.,Jane,Rizzo,1993-05-01,no,
1234500620,Sig.,Rose,Costantino,1979-01-29,yes,1234556151
1234500621,Tolomeo,David,Ferretti,1978-01-13,yes,1234555462
1234500622,Alighieri,Rose,Helga,1976-05-19,no,
1234500623,Olimpia,John,Bernardi,1996-04-23,yes,1234557470
1234500624,Dott.,Thomas,Montanari,1983-10-05,yes,1234552369
1234500625,Lamberto,Rose,Parisi,1983-05-16,no,
1234500626,Ivonne,James,Cattaneo,1976-07-16,yes,1234553655
1234500627,Ubaldo,James,Villa,1994-04-07,no,
1234500628,Ileana,Rose,Grasso,1976-07-15,no,
1234500629,Marco,David,Orlando,1984-03-12,no,
1234500630,Teseo,Thomas,Palmieri,1979-03-14,yes,1234553956
1234500631,Renzo,Rose,De,1976-08-08,no,
1234500632,Sig.,James,Ferraro,1995-01-04,no,
1234500633,Sig.ra,Rose,Marini,1979-02-08,yes,1234559671
1234500634,Sig.ra,Jane,Montanari,1990-01-29,yes,1234559521
1234500635,Gavino,Jane,Sala,1977-07-31,yes,1234559986
1234500636,Rocco,Rose,Mazza,1997-09-16,no,
1234500637,Tommaso,Thomas,Lombardi,1988-11-14,yes,1234552616
1234500638,Alessandro,James,Sala,1992-02-12,yes,1234558280
1234500639,Sig.,Grace,Pellegrini,1982-07-31,yes,1234550472
1234500640,Graziano,David,Longo,1976-04-30,no,
1234500641,Egisto,Jane,Riva,1985-12-13,yes,1234559344
1234500642,Rita,Grace,Fabbri,1975-06-15,yes,1234554601
1234500643,Flavio,Grace,Sanna,1998-04-20,yes,1234556364
1234500644,Rita,Louise,Farina,1997-09-29,yes,1234555998
1234500645,Nabil,Grace,Soriana,1990-05-16,no,
1234500646,Marino,Grace,Vitale,1983-08-14,yes,1234550963
1234500647,Gianmarco,Jane,Mariapia,1980-11-15,no,
1234500648,Eustachio,James,Vitali,1984-10-20,no,
1234500649,Donatella,Rose,Harry,1998-05-11,no,
1234500650,Maika,James,Gatti,1975-03-28,yes,1234559688
1234500651,Ursula,William,Marchetti,1981-09-22,no,
1234500652,Dott.,John,Elsa,1992-11-07,no,
1234500653,Edvige,William,Riva,1997-03-14,yes,1234554115
1234500654,Raniero,David,Sebastian,1992-03-17,no,
1234500655,Neri,Thomas,De,1989-03-28,no,
1234500656,Marzio,Louise,Ferrara,1987-02-28,yes,1234550084
1234500657,Sig.ra,William,Guerra,1989-06-10,no,
1234500658,Erminio,Louise,Monti,1995-06-10,yes,1234550118
1234500659,Akira,John,Marini,1980-08-18,no,
1234500660,Dott.,Rose,Ferraro,1985-01-12,no,
1234500661,Sig.ra,Grace,Costa,1977-08-03,no,
1234500662,Fiorentino,Louise,Testa,1978-08-19,yes,1234555222
1234500663,Sig.ra,Thomas,Gallo,1983-06-03,yes,1234553119
1234500664,Furio,David,Rossi,1980-01-22,yes,1234550480
1234500665,Sig.,William,Martino,1994-08-29,no,
1234500666,Sig.ra,Grace,Vitali,1976-08-27,yes,1234552050
1234500667,Mirko,Thomas,Parisi,1990-02-10,yes,1234556025
1234500668,Sig.ra,Louise,Serra,1985-10-02,yes,1234552698
1234500669,Bacchisio,Grace,Russo,1980-12-31,no,
1234500670,Italo,Louise,Serra,1989-03-15,yes,1234559083
1234500671,Siro,John,Martinelli,1987-02-23,yes,1234558874
1234500672,Cesidia,James,Moreno,1993-06-12,yes,1234553825
1234500673,Trevis,James,Rizzi,1990-09-14,yes,1234551326
1234500674,Gilda,James,Mariano,1985-09-29,no,
1234500675,Omar,John,Ciro,1980-02-08,no,
1234500676,Dott.,David,Colombo,1980-01-25,no,
1234500677,Soriana,Grace,Assia,1979-01-10,yes,1234557082
1234500678,Lamberto,Grace,Fontana,1975-10-13,no,
1234500679,Gastone,John,Sanna,1991-12-30,no,
1234500680,Cassiopea,Grace,Ferraro,1992-02-06,no,
1234500681,Sig.ra,David,Ricci,1981-02-12,no,
1234500682,Thea,David,Martini,1977-05-04,no,
1234500683,Fernando,William,Palumbo,1978-09-06,yes,1234557352
1234500684,Sig.ra,Thomas,Villa,1984-05-23,no,
1234500685,Alighiero,Louise,Esposito,1990-09-25,yes,1234551040
1234500686,Mecren,James,Donatella,1990-05-15,yes,1234558522
1234500687,Dott.,David,Galli,1997-02-19,yes,1234552659
1234500688,Raniero,Louise,Sartori,1980-12-12,yes,1234559096
1234500689,Dott.,William,Bianchi,1991-02-01,no,
1234500690,Valdo,Louise,Guerra,1986-06-06,no,
1234500691,Ione,John,Conti,1988-09-03,yes,1234555116
1234500692,Demi,Jane,Romano,1992-07-17,no,
1234500693,Gaetano,David,Barbieri,1977-02-15,no,
1234500694,Felicia,Jane,Costa,1975-06-29,no,
1234500695,Dott.,James,Montanari,1995-12-06,yes,1234556224
1234500696,Emilia,David,Riva,1996-08-27,no,
1234500697,Cira,Rose,Sarita,1986-01-24,no,
1234500698,Sig.ra,Grace,Russo,1984-05-02,no,
1234500699,Akira,James,Silvestri,1990-04-07,yes,1234550810
1234500700,Fabiano,John,Palumbo,1977-11-03,yes,1234553445
1234500701,Prisca,Thomas,Pagano,1986-02-03,yes,1234559879
1234500702,Dott.,David,D'amico,1977-05-01,yes,1234554147
1234500703,Ercole,Rose,Amato,1980-02-27,yes,1234557691
1234500704,Grazia,Grace,Joseph,1980-12-04,no,
1234500705,Ausonio,John,Santoro,1975-01-31,no,
1234500706,Tristano,Thomas,Nabil,1991-06-17,no,
1234500707,Gregorio,Thomas,Leone,1992-03-01,yes,1234554848
1234500708,Edvige,David,Neri,1983-03-01,no,
1234500709,Irene,Louise,Orlando,1993-04-11,yes,1234556791
1234500710,Bacchisio,John,Rizzi,1978-02-01,no,
1234500711,Sig.,Louise,Serra,1994-01-22,no,
1234500712,Dott.,James,Barone,1977-04-29,yes,1234558180
1234500713,Dott.,James,Carbone,1988-01-04,yes,1234559834
1234500714,Dott.,David,Longo,1985-02-21,no,
1234500715,Samira,James,De,1976-11-16,yes,1234555114
1234500716,Dott.,David,Bernardi,1981-05-13,yes,1234554513
1234500717,Danny,James,Rosalba,1994-11-27,no,
1234500718,Dott.,Grace,Monti,1984-12-28,no,
1234500719,Isabel,Louise,Ferri,1986-12-01,yes,1234552405
1234500720,Adriano,David,Marini,1985-10-09,no,
1234500721,Arturo,Jane,Harry,1984-08-09,yes,1234552651
1234500722,Danthon,David,Lombardi,1980-11-16,no,
1234500723,Sig.ra,James,Monti,1979-09-03,no,
1234500724,Deborah,Grace,Grasso,1982-10-26,yes,1234558422
1234500725,Odone,David,Loredana,1975-10-02,no,
1234500726,Sig.ra,Jane,Matteo,1978-09-09,yes,1234552475
1234500727,Tazio,Grace,Rinaldi,1988-01-13,no,
1234500728,Dott.,Thomas,Gallo,1981-04-21,yes,1234554324
1234500729,Arturo,Thomas,Lombardo,1989-08-24,no,
1234500730,Clodovea,Thomas,Olimpia,1998-04-29,no,
1234500731,Jack,Grace,Bernardi,1984-05-17,no,
1234500732,Noemi,David,Enrica,1994-10-29,yes,1234555218
1234500733,Antonino,Louise,Marini,1997-12-07,yes,1234552959
1234500734,Quasimodo,John,Giuliani,1987-08-26,yes,1234551559
1234500735,Sig.,James,Orlando,1976-08-21,yes,1234556257
1234500736,Danuta,John,Concetta,1977-12-05,yes,1234555104
1234500737,Raniero,David,ellen,1980-04-23,yes,1234553765
1234500738,Omar,David,Conti,1992-03-23,yes,1234551660
1234500739,Adriano,Grace,Moretti,1975-05-05,yes,1234550774
1234500740,Erminia,Grace,Bacchisio,1983-08-13,no,
1234500741,Arturo,Thomas,Bruno,1984-02-17,yes,1234554026
1234500742,Ingrid,John,Ruggiero,1975-03-25,no,
1234500743,Marvin,Rose,Ferretti,1982-02-25,yes,1234554849
1234500744,Lidia,William,Ferrari,1994-11-08,yes,1234556531
1234500745,Mercedes,William,Caputo,1992-09-28,no,
1234500746,Dott.,William,Carbone,1980-12-11,no,
1234500747,Sig.,William,Mazza,1979-09-23,no,
1234500748,Damiano,Jane,Ricci,1987-04-05,yes,1234554897
1234500749,Edvige,Grace,Sartori,1977-10-01,yes,1234554052
1234500750,Teseo,Rose,Marini,1976-06-15,yes,1234552419
1234500751,Dindo,Grace,Mazza,1989-08-17,yes,1234552192
1234500752,Sabatino,Grace,Greco,1996-06-03,no,
1234500753,Dott.,John,Palmieri,1992-09-17,yes,1234556736
1234500754,Dott.,Louise,Ippolito,1997-10-17,no,
1234500755,Loris,William,Rizzo,1976-06-27,no,
1234500756,Gelsomina,David,Martinelli,1992-09-14,yes,1234550030
1234500757,Armando,Rose,Sartori,1979-05-31,yes,1234555767
1234500758,Cleopatra,Louise,Coppola,1981-06-15,yes,1234559806
1234500759,Bernardo,John,Fiore,1982-06-14,no,
1234500760,Davis,Grace,Rossetti,1980-05-05,yes,1234551588
1234500761,Jelena,John,Marini,1976-08-20,yes,1234552356
1234500762,Loretta,David,Leone,1998-11-03,no,
1234500763,Lia,James,Violante,1997-02-05,no,
1234500764,Ethan,David,Colombo,1995-04-10,no,
1234500765,Giacinta,Rose,Serra,1976-10-26,yes,1234553658
1234500766,Anselmo,Grace,Mazza,1982-04-21,no,
1234500767,Sandro,William,Barone,1977-10-17,yes,1234557639
1234500768,Alighiero,William,Edilio,1978-09-05,yes,1234555690
1234500769,Isira,Grace,Villa,1977-07-05,yes,1234551684
1234500770,Radio,Jane,Sartori,1978-08-31,no,
1234500771,Deborah,David,Testa,1989-12-30,no,
1234500772,Rudy,James,Pellegrino,1998-02-13,no,
1234500773,Dott.,James,Vienna,1985-11-15,yes,1234552395
1234500774,Costantino,Grace,Guerra,1988-12-02,no,
1234500775,Rudy,Grace,Bianchi,1980-09-22,no,
1234500776,Domiziano,John,Noah,1998-06-04,no,
1234500777,Kociss,James,Gatti,1985-10-29,no,
1234500778,Lidia,John,Rizzi,1998-07-08,no,
1234500779,Alighiero,Rose,Antimo,1997-10-11,yes,1234556255
1234500780,Santo,Thomas,Silvestri,1978-04-30,yes,1234554413
1234500781,Nathan,David,Gallo,1988-08-23,no,
1234500782,Sig.ra,John,Coppola,1981-02-13,no,
1234500783,Noah,William,Cleopatra,1988-12-26,no,
1234500784,Loris,Rose,Rizzi,1989-02-12,yes,1234552282
1234500785,Ercole,James,Santoro,1995-07-09,yes,1234557731
1234500786,Ludovico,Rose,Colombo,1980-07-11,yes,1234553085
1234500787,Sig.ra,Jane,Germano,1979-03-19,yes,1234550788
1234500788,Antonino,Jane,Fiore,1983-08-26,yes,1234550472
1234500789,Emilia,John,Basile,1982-11-13,yes,1234552080
1234500790,Sig.ra,David,De,1990-05-13,no,
1234500791,Fatima,Thomas,Bellini,1987-04-05,yes,1234553680
1234500792,Gianriccardo,John,Pellegrini,1975-01-29,no,
1234500793,Sig.,James,Neri,1997-09-27,yes,1234550211
1234500794,Lamberto,Louise,De,1990-04-22,yes,1234554644
1234500795,Prisca,Thomas,Giuliani,1984-07-07,yes,1234555866
1234500796,Marcella,John,Conte,1994-11-08,yes,1234559784
1234500797,Amerigo,David,Martini,1980-08-22,yes,1234555028
1234500798,Dindo,Grace,Giuliani,1992-08-19,no,
1234500799,Sig.ra,John,Aaron,1997-09-01,yes,1234552657
1234500800,Gianriccardo,James,Martino,1983-03-31,yes,1234556029
1234500801,Dott.,Louise,Moretti,1976-09-17,yes,1234554711
1234500802,Abramo,William,Ian,1995-04-28,no,
1234500803,Noel,John,Amato,1975-01-15,yes,1234551131
1234500804,Loretta,Jane,Sala,1979-06-04,no,
1234500805,Ione,Louise,Villa,1975-05-08,yes,1234556115
1234500806,Sig.,William,Serra,1987-05-03,no,
1234500807,Piererminio,David,Greco,1998-01-03,yes,1234557957
1234500808,Lino,Jane,Barone,1980-07-16,yes,1234551249
1234500809,Sig.ra,Grace,Mancini,1985-04-17,no,
1234500810,Emanuel,Grace,Gatti,1990-05-06,yes,1234554465
1234500811,Sig.ra,Jane,Ferraro,1987-12-10,no,
1234500812,Mirko,Jane,Ferrari,1998-02-10,yes,1234555032
1234500813,Sig.ra,John,Amato,1980-02-17,yes,1234554190
1234500814,Sig.,Thomas,Moretti,1991-08-13,no,
1234500815,Jelena,Jane,Soriana,1993-04-05,no,
1234500816,Dott.,Thomas,Manuele,1998-09-06,no,
1234500817,Sig.ra,David,Vitale,1981-12-03,yes,1234555615
1234500818,Manfredi,John,Lino,1987-01-02,no,
1234500819,Giordano,James,Benedetti,1982-12-08,no,
1234500820,Noel,John,Pellegrini,1998-10-03,no,
1234500821,Ulrico,William,Filomena,1984-02-01,yes,1234551158
1234500822,Giuliano,Thomas,Nicoletta,1989-05-03,no,
1234500823,Clea,John,Donati,1997-07-10,no,
1234500824,Germano,Grace,Greco,1994-01-03,no,
1234500825,Dott.,David,Damiano,1985-07-23,yes,1234554865
1234500826,Kociss,Thomas,Deborah,1988-11-26,yes,1234551171
1234500827,Sig.,James,Fabbri,1983-07-10,yes,1234557170
1234500828,Bettino,William,Bruno,1981-10-23,no,
1234500829,Sig.ra,Rose,Sibilla,1987-08-12,no,
1234500830,Baldassarre,Grace,Rossi,1985-03-07,no,
1234500831,Avide,William,Ferretti,1978-05-23,yes,1234551633
1234500832,Eliziario,John,Greco,1998-09-19,yes,1234559979
1234500833,Sig.ra,Thomas,Orlando,1979-11-22,yes,1234552280
1234500834,Sig.ra,John,Costantini,1997-07-12,no,
1234500835,Alessio,Rose,Testa,1977-05-29,yes,1234557089
1234500836,Leonardo,David,Palmieri,1991-06-12,yes,1234550970
1234500837,Evita,Louise,Ferraro,1996-11-03,yes,1234557167
1234500838,Sesto,Thomas,Marini,1995-08-30,no,
1234500839,Noah,Thomas,Giuliani,1994-05-06,no,
1234500840,Siro,Rose,Gatti,1985-08-10,yes,1234554960
1234500841,Ippolito,John,Martino,1998-01-30,no,
1234500842,Edipo,Louise,Pellegrini,1979-07-10,no,
1234500843,Miriam,James,Elio,1984-12-19,yes,1234557752
1234500844,Fulvio,Rose,Farina,1978-01-03,yes,1234552887
1234500845,Fiorentino,Jane,Felicia,1975-09-21,yes,1234559924
1234500846,Avide,James,Bellini,1986-06-13,yes,1234554534
1234500847,Cleopatra,David,Carlo,1977-11-29,yes,1234559373
1234500848,Sig.ra,Grace,Timoteo,1981-05-01,no,
1234500849,Ulrico,David,Leone,1998-05-13,yes,1234556636
1234500850,Antonio,Grace,Odone,1992-06-28,no,
1234500851,Dott.,John,Bianco,1993-11-08,yes,1234550911
1234500852,Joey,James,Colombo,1982-03-09,no,
1234500853,Lia,Louise,Rita,1994-12-15,yes,1234550209
1234500854,Lauro,Louise,Giuliani,1989-08-15,no,
1234500855,Ferdinando,Rose,Farina,1993-02-22,yes,1234551191
1234500856,Rosalba,Grace,Ferraro,1989-10-14,no,
1234500857,Dott.,Louise,Pellegrini,1989-01-31,no,
1234500858,Orfeo,Grace,Costantini,1979-01-23,no,
1234500859,Trevis,Rose,Sorrentino,1993-11-06,yes,1234557748
1234500860,Elsa,Rose,Farina,1995-04-18,no,
1234500861,Sig.,James,Cristyn,1996-10-10,yes,1234556746
1234500862,Dott.,Jane,Grassi,1976-01-31,no,
1234500863,Timoteo,Louise,Basile,1994-01-04,yes,1234558128
1234500864,Oreste,James,Alan,1982-12-21,no,
1234500865,Xavier,Louise,Pellegrino,1992-05-19,no,
1234500866,Dylan,James,Villa,1977-06-18,yes,1234557569
1234500867,Jack,James,D'amico,1986-03-12,yes,1234557533
1234500868,Odino,James,Basile,1994-09-10,yes,1234556415
1234500869,Pierfrancesco,Thomas,Palumbo,1996-11-02,yes,1234550701
1234500870,Violante,William,Marina,1986-04-22,yes,1234559456
1234500871,Sig.,William,Gregorio,1997-08-05,no,
1234500872,Sig.ra,Louise,Farina,1997-08-11,yes,1234558892
1234500873,Emanuel,Jane,Erminio,1981-02-11,yes,1234550099
1234500874,Carlo,Rose,Bruno,1995-05-01,yes,1234554193
1234500875,Lauro,Grace,Valentini,1977-01-18,no,
1234500876,Enrica,James,Piras,1982-02-17,no,
1234500877,Sue,Rose,Bernardi,1985-03-10,no,
1234500878,Mirko,Louise,Basile,1978-09-10,yes,1234550257
1234500879,Yago,John,Prisca,1991-12-10,no,
1234500880,Lino,Jane,Bernardi,1988-04-21,no,
1234500881,Shaira,Louise,Marini,1985-11-19,no,
1234500882,Rosolino,William,Orlando,1995-11-19,no,
1234500883,Giobbe,Grace,Conti,1991-04-05,no,
1234500884,Italo,Louise,De,1976-02-14,yes,1234551458
1234500885,Dott.,Jane,Ferraro,1993-07-20,yes,1234558816
1234500886,Alighiero,Grace,Loredana,1981-06-02,no,
1234500887,Fulvio,John,Mazza,1990-05-17,no,
1234500888,Sig.ra,Louise,Damiano,1978-01-08,no,
1234500889,Sig.,William,Fiore,1978-12-04,no,
1234500890,Sandro,David,Bibiana,1990-08-12,yes,1234552947
1234500891,Dott.,William,Amato,1986-07-08,yes,1234550367
1234500892,Sig.ra,James,Rossetti,1979-07-15,yes,1234554742
1234500893,Aroldo,Grace,Romano,1977-01-10,no,
1234500894,Sig.ra,Louise,Costantini,1996-07-18,yes,1234559244
1234500895,Sig.ra,Louise,Morelli,1989-11-02,yes,1234557608
1234500896,Pacifico,John,Grazia,1978-10-04,no,
1234500897,Isabel,David,Lucia,1995-09-30,yes,1234556040
1234500898,Nabil,Jane,Ferri,1988-01-07,yes,1234556783
1234500899,Selvaggia,Jane,Giuliani,1983-05-26,no,
1234500900,Dott.,Rose,Donati,1978-06-20,yes,1234555224
